ID,Product_Type,Raw_Material_Usage_kg,Energy_Consumption_kWh,Waste_Generated_kg,Transport_Distance_km,CO2_Emissions_kg,Column2,Manufacturing_Energy_kWh,Renewable_Energy_%,Cost_$,Column1,Delivery_Time_days,Sustainability_Score,Recyclability Score (0-1),Carbon Footprint (kg CO2)
18,Food,184.9599577,59.42523246,8.972287447,3108.454501,536.1914337,,297.0341117,65.68810743,2271.238975,,8,68.63,0,413
19,Electronics,175.2803088,86.97725036,28.68918031,1339.004779,780.9704505,,149.048087,43.40024632,1303.60818,,4,44.19,1,747
20,Pharmaceutical,108.5792309,485.5370157,38.80971864,2930.395596,938.0557416,,139.6378902,19.1616797,2676.540217,,6,20.56,1,843
21,Apparel,122.3423328,182.9501499,25.44588756,1860.12286,913.7420294,,184.2647047,26.48961542,1416.770016,,14,32.82,0,235
22,Food,85.81051374,396.1504165,1.593052722,4135.40591,828.6436261,,506.5380085,75.27527672,4714.579045,,5,62.71,1,647
23,Pharmaceutical,20.40471138,331.098606,1.442884985,4121.411188,893.7817822,,750.1343948,70.16520829,4548.531046,,9,58.59,1,544
24,Electronics,73.68747591,221.8728378,18.49443785,2439.016951,239.2587015,,447.7203996,59.68495352,2920.669304,,8,69.43,0,979
25,Electronics,162.5421552,142.559268,46.38350935,1819.013636,319.9750809,,690.0618377,43.75576612,1901.235162,,2,49.92,0,553
26,Automotive,10.88008437,104.6238882,12.2051622,1876.543003,324.5200987,,412.1206339,46.42265383,2029.505034,,12,64.53,0,903
27,Automotive,73.36484262,326.7558356,32.08382075,4048.001176,408.2012345,,596.008482,78.26711747,2176.890959,,13,69.7,1,45
28,Apparel,85.65205178,398.5852013,11.88171766,1708.079466,423.6546369,,612.3109161,77.60393107,3692.380746,,7,73.95,1,260
29,Pharmaceutical,112.1051646,339.7569141,16.76182949,1124.390931,567.3275584,,221.7745941,25.06883321,2367.867178,,7,44.07,1,646
30,Pharmaceutical,184.7725671,288.63596,42.55406239,514.9728752,201.8857752,,352.8512413,66.77731964,4312.303743,,11,61.69,1,214
31,Automotive,75.80573893,68.87805054,36.71421067,2386.796292,706.6843306,,546.1115096,23.80698663,4731.654972,,14,26.55,1,196
32,Pharmaceutical,75.92110836,485.8199499,5.674564588,2462.447285,209.1882123,,149.4876257,24.94762345,1812.541536,,14,60.3,1,253
33,Pharmaceutical,150.1252371,409.4213862,22.00639903,4220.452681,344.793058,,353.0781314,57.32651239,2891.333511,,12,63.73,0,475
34,Electronics,95.92140877,181.7699165,2.429318419,1184.069613,528.1778741,,474.3596264,38.3500769,656.2713768,,1,61.05,0,160
35,Automotive,52.67491636,490.9866482,24.56361718,1966.857241,806.6185334,,797.3571451,75.2081085,1162.251429,,1,61.26,1,400
36,Food,95.96350807,320.8467153,33.45926657,4061.188121,752.4957716,,432.1734938,16.23068144,2184.63568,,12,27.79,1,393
37,Automotive,36.76283387,312.0901962,6.806628556,4135.755693,663.2576386,,671.23973,45.80679486,1189.773036,,4,57.9,0,79
38,Food,43.51352744,386.6329307,15.15536201,1984.594272,197.9845976,,402.4470995,74.29650713,4407.490356,,5,76.33,1,142
39,Electronics,104.6898768,415.2964046,20.49399465,2349.707714,569.6930783,,657.4735058,73.28795623,959.7740291,,4,69.44,1,46
40,Apparel,89.59583541,345.4153733,46.05702021,1586.100865,133.0741767,,516.7903611,20.95704494,2387.171943,,7,43.29,1,14
41,Pharmaceutical,183.8207212,107.6430859,49.66949576,4669.518904,408.495018,,720.6168091,35.66463901,3107.356354,,3,39.49,1,565
42,Electronics,78.85484083,202.2203777,3.200653651,681.3544521,442.8407038,,387.6597866,53.338498,3520.946759,,7,65.06,1,585
43,Pharmaceutical,120.3117866,467.6376381,38.28938825,4675.372173,87.82086747,,523.0130939,21.15764193,2038.732975,,13,48.55,1,307
44,Apparel,130.1302147,151.0770253,19.21447925,3450.945614,310.2886945,,541.0130764,77.76155204,4371.67553,,8,73.14,0,619
45,Apparel,12.48794675,217.4751607,20.23045113,2704.703548,957.8669939,,392.1680593,74.03245301,2927.931925,,6,54.33,0,569
46,Electronics,136.0721007,244.4345973,37.95898369,260.0293978,955.9509774,,201.0184306,21.68651253,2309.637346,,6,22.36,0,31
47,Apparel,43.82683371,247.7322454,46.00289518,2430.42134,384.7107015,,165.4915848,18.48088229,522.7550434,,8,38.25,1,788
48,Food,192.6033603,325.8228121,47.59550113,2097.965715,90.9451035,,111.6700854,15.9785938,2430.509449,,8,41.36,0,551
49,Apparel,38.24591827,474.384127,29.27900672,889.9721787,220.1401924,,711.473985,73.66105648,4139.532036,,7,70.24,0,826
50,Pharmaceutical,88.77858351,158.3117203,18.49893681,3316.407057,422.6069038,,265.5324386,23.55366669,3149.796887,,6,45.4,1,328
51,Pharmaceutical,26.21643693,104.6756193,39.58990521,4858.639446,950.3907131,,248.0547245,39.139945,4194.379778,,6,26.83,0,254
52,Pharmaceutical,199.4061079,138.8617204,13.29906778,2854.725174,184.1391104,,615.2247803,41.4195956,2571.256019,,10,64.72,0,630
53,Pharmaceutical,105.417052,449.1162051,28.63962741,3602.291055,775.3400515,,324.0112792,51.93077309,768.6161845,,11,49.71,0,751
54,Food,123.1231533,340.6148657,18.57034461,435.4072176,153.2484124,,454.2312847,15.02147406,265.47126,,13,54.95,1,949
55,Automotive,22.7445307,178.6580552,33.17492261,2146.56828,982.1946985,,213.7577457,25.87310322,1655.453824,,13,26.89,1,629
56,Electronics,152.4924894,417.1761225,12.77954673,670.1565773,412.5356742,,771.822005,75.20432708,3550.354263,,6,73.01,1,744
57,Pharmaceutical,49.88206269,437.6164984,10.38805434,3102.699594,786.472812,,696.10698,73.58870751,3993.247539,,8,61.06,0,782
58,Apparel,180.630315,430.9314524,45.99371525,4698.562575,375.4615287,,704.6527361,64.69034532,1619.613606,,1,59.44,0,473
59,Pharmaceutical,48.97653169,463.5169401,5.988380465,3342.710889,646.2854333,,384.741624,11.35808719,2579.13882,,5,38.74,0,411
60,Apparel,46.23066693,163.5084591,25.79193748,476.3349367,232.4152805,,633.6528496,32.89047379,2221.370741,,3,54.71,0,513
61,Apparel,16.94443689,389.7688679,11.82178637,1837.864404,188.7199683,,200.7133088,53.95711147,2170.509365,,12,72.25,0,96
62,Pharmaceutical,99.69271957,257.2427738,2.907568203,2798.250559,941.1609326,,106.0333018,29.26331482,1310.473823,,8,42.61,0,924
63,Food,117.3198153,428.8993488,2.764922096,2075.718005,921.764914,,113.9810528,73.67106865,854.5813041,,11,66.37,0,353
64,Apparel,22.48464149,377.8208047,9.585866833,4184.855651,893.0954932,,510.6212162,54.37226233,1144.10508,,6,54.27,0,855
65,Apparel,157.3502472,399.4013509,43.47174737,4091.887923,644.1617777,,418.7764337,15.03347021,465.5954584,,14,29.87,0,268
66,Pharmaceutical,96.1248786,345.272827,14.84145845,3097.971999,817.8548007,,462.6107442,73.63039122,1151.027561,,2,64.04,0,368
67,Apparel,109.6341512,129.8429463,47.57249936,1929.943931,115.5850901,,105.2241983,77.04366607,244.1643086,,13,75.54,1,573
68,Apparel,93.74492192,295.2621135,29.49949236,1351.148231,368.0495898,,395.8806338,15.43986929,3210.840323,,7,38.46,1,83
69,Pharmaceutical,86.14498157,493.1013828,22.3940953,618.7841592,348.0179685,,602.6477128,47.26521644,1718.601955,,7,60.8,1,243
70,Pharmaceutical,116.3316629,471.8246299,29.4243529,1838.998649,653.8630559,,409.8855914,31.23549975,4871.094615,,13,34.49,0,537
71,Electronics,39.49564673,69.42818111,26.31822088,2124.545334,388.1598848,,612.5534444,37.49873535,1129.841844,,5,54.32,0,311
72,Food,44.56634479,124.1666671,38.18003643,3411.532333,191.0814426,,263.1132751,22.57558526,1859.977137,,8,46.56,0,200
73,Food,173.739268,109.2779481,14.84230723,3324.983139,616.6437216,,669.1994031,50.46504714,1917.637561,,14,56.96,1,924
74,Apparel,189.7619378,376.6909595,18.29946919,443.5298842,823.6647246,,511.9018683,77.05855473,240.5671811,,5,66.02,1,241
75,Food,80.92877009,418.0033984,44.81062082,2036.770646,413.0173197,,247.5341696,45.21508202,4228.198175,,1,43.84,1,826
76,Apparel,61.4414879,146.0801148,47.37636914,990.7164494,175.6552793,,265.7043331,15.8040207,353.5734087,,9,42.97,1,616
77,Electronics,132.3599132,277.6337118,44.73535315,868.3822561,236.8537874,,539.6213252,53.40009334,4712.863207,,4,52.27,0,895
78,Pharmaceutical,87.65949251,428.3163626,21.5529517,4153.780534,275.6091399,,680.9577152,33.81560961,4481.956885,,13,51.05,1,163
79,Pharmaceutical,14.82340758,379.7606951,39.23790965,305.3845619,334.9027133,,390.9394474,69.91476327,2770.505197,,2,63.67,1,177
80,Pharmaceutical,39.6689935,294.0067425,24.34045093,2153.996092,660.655317,,280.8103004,40.42747038,2809.25876,,4,45.04,0,249
81,Food,146.0347235,315.6564607,25.37945276,924.1979133,620.8982103,,706.9081248,23.49877263,3338.13403,,14,36.29,1,623
82,Electronics,135.195549,278.7622461,11.02932534,4408.718057,711.2758685,,568.4878042,23.37739359,2057.840057,,13,41.82,1,302
83,Food,15.14823858,183.8968031,29.96538486,2829.498515,394.3768853,,413.6598411,63.81349265,3306.66696,,9,61.48,0,240
84,Food,52.17471077,304.2598968,10.12065899,1233.765118,832.7977693,,441.5301367,28.59113188,414.8882657,,2,44.43,1,960
85,Electronics,53.90421135,359.9983859,17.24667025,2561.893707,243.8832781,,242.9795276,63.70633759,459.4286113,,4,76.72,0,50
86,Electronics,137.6596213,442.9953121,42.89647988,3684.283163,495.5887101,,538.761841,24.41211175,2394.706014,,2,35.39,0,540
87,Electronics,13.74500217,336.3311093,11.14671465,4794.778244,810.8917855,,351.1197574,32.51804581,2838.187045,,5,41.8,1,613
88,Electronics,29.78063058,392.5046917,4.486755973,1180.185421,221.1507153,,796.9516237,42.58408807,4461.524674,,3,63.94,1,873
89,Pharmaceutical,161.9840562,122.0322357,4.381372038,4442.290683,154.3699581,,436.1284607,76.02370948,702.3710428,,10,90.22,1,133
90,Automotive,43.92348579,257.7008635,47.0984415,4678.090159,889.4997693,,440.1199243,75.22119973,4148.710051,,2,43.79,0,120
91,Automotive,134.0217605,54.19922892,25.83910146,4590.460668,375.7831796,,496.0962512,24.48103128,1208.227219,,14,48.21,0,987
92,Electronics,55.2547284,161.005489,21.06119152,3213.530349,699.6766187,,741.7292022,35.07533289,2091.601513,,9,43.94,1,15
93,Automotive,28.89386462,376.9077718,40.73305047,3186.121207,74.08117405,,660.5726699,20.45795719,1719.691687,,5,48.27,1,467
94,Automotive,56.20271629,496.3144781,41.95547047,2075.732103,705.544544,,415.7910489,45.69895555,2120.74531,,10,40.66,0,853
95,Electronics,147.2307171,94.63014481,17.27736062,3786.749623,350.296246,,603.0894862,42.24077855,922.3783907,,5,61.86,1,74
96,Automotive,172.5823289,230.6724421,34.98728482,2703.34069,102.9538109,,510.3648491,73.05321137,2617.136357,,1,74.21,0,244
97,Food,167.7417743,410.0319359,38.78501798,3419.446549,629.3221235,,444.6569341,75.10037645,4047.884431,,6,55.06,0,473
98,Apparel,85.46487063,141.8160356,33.07788366,2199.443729,278.7636253,,234.6210409,36.84971737,2319.36325,,13,52.19,0,38
99,Apparel,136.9361759,299.7882272,8.428158665,3684.332674,417.4668799,,424.7553844,44.42165601,2554.945164,,7,61.21,1,447
100,Electronics,48.94701613,379.8820832,43.91827109,4139.910436,126.5517717,,272.0730109,72.73653744,4274.084409,,1,66.46,1,515
101,Pharmaceutical,65.69806875,327.1934526,27.41563308,817.5376574,189.8050885,,740.3895049,66.46954654,3589.07895,,9,69.4,1,563
102,Electronics,180.3038055,134.6111306,14.84114889,4181.355606,333.0783737,,334.7847694,10.25594179,2554.181161,,8,44.09,0,226
103,Pharmaceutical,12.47036547,209.9230559,21.83618109,2747.453006,135.2715255,,766.5848102,32.40416949,1436.939111,,12,60.54,0,789
104,Apparel,26.24662086,402.706303,2.84098343,4238.862955,915.2849515,,473.1387031,39.52419694,4447.648385,,14,42.27,1,497
105,Electronics,49.49838848,299.4019314,7.26547326,2213.378361,55.74469102,,542.0810651,26.08013986,2969.697928,,14,62.52,1,403
106,Food,15.04111874,52.35332609,38.51179078,1957.298378,509.6672079,,480.0583111,23.97001311,1261.508529,,8,38.77,0,781
107,Automotive,44.47273267,392.445842,1.000570103,4583.797589,167.0850852,,190.5664319,12.64491546,1491.774813,,7,57.93,1,317
108,Pharmaceutical,120.7778966,65.89010972,21.4117256,1330.729411,342.295135,,363.0748533,55.03588075,4055.038827,,5,60.57,0,836
109,Automotive,90.07066461,385.5802022,26.60299887,4236.640394,929.7565818,,169.4022786,28.37572033,411.898698,,3,34.83,0,594
110,Automotive,179.6076251,141.1162521,3.67708658,2471.700805,203.6098256,,536.0678309,13.66430249,4962.042498,,12,49.33,0,526
111,Electronics,165.3142767,481.1330661,48.68082999,2619.067669,967.5407037,,412.8119366,26.16855174,825.6880626,,14,22.93,0,29
112,Automotive,74.94529682,215.5733381,12.08014123,1611.494579,245.5046581,,644.5894801,66.1339767,4021.128922,,9,72.83,1,76
113,Food,59.29045235,197.1192274,15.90573726,2907.906783,754.487803,,254.3293367,69.60424272,2094.921521,,14,61.62,0,89
114,Automotive,82.14155755,116.9996226,15.8931831,1693.534862,569.3434017,,215.1962409,43.81463716,2562.63768,,7,53.34,0,436
115,Electronics,122.1560391,187.521897,12.29041644,292.4201298,890.2547912,,384.4325617,39.12494693,4427.122772,,11,39.08,1,324
116,Food,60.93209176,444.4928428,1.072217282,1432.793166,576.2935927,,748.6097683,78.44975855,2181.97371,,10,77.14,1,422
117,Apparel,128.5882925,498.3504519,36.73789491,131.2573127,557.8312582,,597.2952705,24.03952617,2779.970018,,10,35.03,1,531
118,Automotive,87.78821392,215.7392887,48.37542949,4893.938457,235.6851003,,393.2465374,25.0751498,436.6383796,,8,45.24,1,75
119,Electronics,114.8889644,251.8747839,11.99038068,4832.161328,207.9178939,,462.0905188,30.43070239,211.2678746,,14,63.76,1,888
120,Apparel,92.86404054,374.9319222,33.4893124,2036.260958,920.6646936,,158.9491078,22.09301228,1375.03939,,6,27.28,0,477
121,Apparel,65.94849431,448.7881012,37.35292002,3669.017186,361.4462889,,789.2031275,36.55559187,3466.798846,,12,45.56,0,203
122,Pharmaceutical,190.2061283,316.8699504,42.57284358,1794.449882,403.4781422,,566.4851133,73.75839589,782.0714881,,14,66.18,1,361
123,Food,155.0851009,226.1865642,21.70883065,3388.35647,771.8324755,,299.7828479,53.07434884,746.0574023,,11,53.21,1,841
124,Automotive,36.6215034,235.6798284,15.84361438,4046.607211,371.8823083,,510.065876,38.8362584,2172.610919,,14,57.58,1,468
125,Electronics,175.0089154,363.0281659,16.93946157,4739.105599,954.4593243,,176.6376562,75.40875562,3309.617785,,5,55.68,1,416
126,Pharmaceutical,102.6119277,51.44821862,35.91844532,2061.040152,751.0313805,,776.0856682,13.39249627,3617.945563,,8,22.56,1,391
127,Food,179.9649231,328.8152019,41.02219386,3938.160116,617.5577804,,222.3494915,24.71933245,1056.563236,,3,35.31,1,660
128,Pharmaceutical,161.9724986,209.9718547,9.89908442,1403.049408,886.8504025,,553.6212226,49.61220236,582.0231074,,12,53.08,0,270
129,Food,90.79056585,407.3887991,19.1761094,4952.628289,97.12561293,,271.8181238,53.08868362,4713.905763,,13,66.53,1,729
130,Food,14.26916858,91.84578792,45.19506964,226.2710339,294.2095576,,602.2929679,12.76902546,1451.198636,,13,36.58,1,54
131,Automotive,61.04869828,314.6910201,40.52798247,3057.291152,491.7845175,,643.7749571,38.21271305,4296.063189,,7,39.55,0,469
132,Food,112.9105008,266.4378004,49.25806174,3331.57931,265.6296125,,571.3938102,55.44077754,4344.758962,,2,51.36,1,451
133,Pharmaceutical,130.3608618,339.0464867,37.95816472,3471.42323,756.7099279,,530.1496222,58.86493825,3908.10844,,3,43.73,1,723
134,Food,58.99866023,79.18411752,20.26656485,689.8991361,923.2476295,,724.7283658,54.66979318,1010.401312,,13,49.51,1,463
135,Automotive,36.47765407,310.9927043,29.94125387,4698.795939,452.5816139,,155.0386977,32.43942571,4144.647004,,12,42.38,1,705
136,Automotive,168.636745,302.6680646,33.38969846,987.7980673,375.0259701,,331.640336,16.54640865,3892.402684,,2,35.88,0,260
137,Pharmaceutical,197.0364143,302.2970425,4.844335,3151.491676,963.4731955,,273.8012357,39.89787125,3064.270353,,5,42.98,0,422
138,Apparel,109.8811346,321.56945,27.680351,1191.112788,472.6098112,,791.6097734,19.01281062,1818.569769,,7,40.62,0,164
139,Apparel,42.61906431,354.4105718,35.7567206,1605.360443,514.5959804,,372.5728458,76.3336561,1460.0413,,11,65.51,0,355
140,Food,61.73839204,412.2450499,9.198743896,2777.646854,384.0673787,,612.8288895,43.26196062,785.068218,,10,64.86,0,201
141,Electronics,13.49422854,171.4193241,39.25095415,2144.247751,914.0710494,,579.3076147,32.2081422,2646.833921,,11,27.69,0,153
142,Food,183.7167732,421.2722346,29.60486625,885.1054448,590.5077091,,248.4568662,63.64128498,3009.252202,,11,56.24,0,363
143,Pharmaceutical,32.37270575,274.215057,47.6588675,937.5883719,774.0658578,,267.2983761,44.85640148,1924.827154,,11,36.29,0,54
144,Pharmaceutical,119.5381303,84.67622561,3.078692612,2148.909462,821.2163824,,296.8991945,31.70238168,2481.723525,,10,45.02,0,572
145,Pharmaceutical,62.07049193,76.34791816,14.00098074,3810.686594,374.7565898,,387.7890948,66.83774197,1944.869395,,13,72.69,0,635
146,Pharmaceutical,115.2938205,200.4072434,30.47614009,4500.02677,462.0096148,,264.027546,70.70065057,3276.829075,,14,62.75,1,777
147,Pharmaceutical,133.7698738,403.2036397,15.5314357,512.2255451,856.0481857,,113.7560379,57.11057164,4526.044197,,1,47.61,0,171
148,Automotive,167.6509427,368.4564206,36.00678404,2026.209147,395.0925841,,715.5751398,13.28750957,986.8172578,,13,38.41,1,67
149,Apparel,49.22004163,404.8767341,38.19125884,591.2032622,804.2383768,,775.926882,49.64260161,2030.762288,,10,41.36,0,492
150,Pharmaceutical,12.08920745,282.7710754,6.023282239,181.3031551,943.9427064,,339.0992709,63.43064384,876.169299,,9,59.24,1,544
151,Electronics,36.00826971,248.0895491,26.17886875,3342.421545,642.0498544,,336.9548156,19.55521085,3199.730098,,1,33.65,1,854
152,Electronics,181.003542,116.353637,25.93563722,3052.002266,754.5459231,,104.9642689,26.0069526,3698.578446,,1,32.6,1,414
153,Electronics,176.0391147,197.6867391,19.09475774,898.7936577,814.8424464,,576.1754818,71.77465735,4673.181116,,14,54.46,1,615
154,Electronics,123.5084894,245.3087148,46.71331827,1245.682882,852.7876665,,677.807927,11.40852053,1538.585246,,12,18.36,0,566
155,Automotive,124.0982035,89.87019336,41.54780967,216.1679929,425.300671,,202.6258103,62.69089965,4761.013788,,10,52.45,0,487
156,Electronics,136.3569682,149.2753787,35.16325971,4191.241308,98.70028622,,211.7664446,43.16413048,503.6608247,,8,63.55,1,307
157,Pharmaceutical,43.32054294,319.2013823,36.00200515,4875.983921,431.7824577,,653.058275,41.27405112,3094.466544,,6,47.09,1,377
158,Food,183.7382697,381.0484014,23.62409105,763.7517303,690.0684183,,531.4035238,10.49675727,474.2370528,,6,34.15,0,552
159,Electronics,89.56639973,499.2563801,46.12873153,1234.228547,477.8328665,,131.4023903,67.35787617,4490.116101,,12,51.91,0,472
160,Automotive,82.79632037,469.9009991,35.03517594,4355.206667,761.5149933,,535.7828933,35.18774304,2743.083474,,9,35.25,1,98
161,Automotive,108.594364,339.1543398,36.72007202,4639.67261,389.133308,,316.242406,47.85359419,3412.872084,,4,50.74,0,739
162,Electronics,18.92353369,239.561624,43.22285429,2156.174176,653.006934,,358.1076088,57.41104804,4191.554844,,8,43.44,1,66
163,Food,41.59384006,336.2798141,14.42950788,348.0501141,227.0988146,,638.8119928,59.18407035,921.4909879,,4,75.16,0,448
164,Electronics,150.2263871,403.5432281,40.54647429,293.0199851,761.9009648,,667.6546349,76.91860412,385.2394973,,14,58.61,1,831
165,Automotive,25.73174691,103.2512859,10.56678954,2912.354344,568.4111704,,380.2496388,47.19379673,4418.6295,,2,53.48,0,640
166,Apparel,124.5989008,234.4572004,17.92175566,2025.186034,243.8611691,,763.0070552,37.98036857,1711.679492,,11,61.08,0,294
167,Pharmaceutical,56.61633084,427.9110285,17.44491226,240.3968951,327.3156148,,384.5239026,76.75925385,819.0987581,,8,79.94,0,314
168,Automotive,83.96616667,222.7248284,48.94774795,2957.936722,761.1782732,,640.2852247,54.94771645,2448.613938,,12,40.16,0,525
169,Electronics,64.85180999,307.3425221,42.97032396,155.3824293,508.4711739,,438.7140852,30.87052494,3071.869163,,7,36.85,0,716
170,Pharmaceutical,77.57781613,314.4962124,35.35732322,3958.122595,255.2298684,,728.2726286,18.85249718,348.6588964,,4,46.93,1,883
171,Electronics,146.618722,133.0143139,36.62578132,1601.520831,968.9076309,,735.4328706,68.9788151,1519.49916,,9,47.73,1,390
172,Electronics,66.45312597,213.0059487,28.54156693,297.2642147,729.3687688,,161.1917655,35.3527122,357.4393965,,9,43.66,1,801
173,Apparel,117.6168817,200.5300799,47.40744269,2982.925883,959.2780909,,755.5453319,56.2328805,2217.609868,,8,35.94,0,720
174,Pharmaceutical,100.4495764,61.78851884,25.31667889,2048.653631,455.7497931,,677.8743891,42.95714936,4496.48014,,14,48.69,1,538
175,Pharmaceutical,136.0975214,60.88629375,19.64536778,4871.622025,501.3453237,,653.9175,23.92508459,4916.731575,,1,39.23,0,786
176,Apparel,187.9976505,424.2636697,8.98873151,2766.573446,903.0574554,,240.6379378,52.1180626,3257.828257,,7,48.86,0,529
177,Automotive,149.1886985,172.8818645,39.52407696,1448.671987,548.7968732,,663.5834461,14.24781483,975.8609302,,5,32.9,1,81
178,Electronics,50.83867193,283.1354448,36.98775267,3576.250437,721.9149663,,695.0929143,38.93397219,4548.077072,,7,33.92,1,747
179,Food,15.92479566,184.4265081,19.83339689,1430.310812,289.5642336,,302.4052341,48.26304578,2677.989551,,12,62.16,1,81
180,Electronics,59.83016842,473.3056603,2.234477284,4530.792128,474.3901453,,766.5820549,40.52328819,937.9966981,,9,63.26,0,576
181,Electronics,123.0648068,166.6835415,42.11086906,1936.137655,167.2773725,,134.9021025,62.40705227,4624.288013,,2,60.09,1,254
182,Automotive,19.77090456,243.3455657,1.559481189,2794.355958,245.6810341,,204.9364773,67.95474682,3835.851443,,13,78.31,1,826
183,Electronics,104.309587,442.7286127,35.4812892,347.8082087,50.8962445,,476.3067966,63.98701518,3712.185309,,14,68.85,1,300
184,Apparel,123.4001413,428.8701051,48.54259838,2187.994066,87.30179907,,503.0547298,12.71690635,3604.067378,,11,37.11,1,755
185,Apparel,73.50633926,133.745638,22.44540508,4178.581344,978.419632,,551.6050583,23.58901393,1161.631141,,4,31.14,0,423
186,Pharmaceutical,156.4733187,411.1894894,12.51369684,4047.679146,280.2360104,,111.8783905,47.56252565,1212.83212,,4,67.94,1,356
187,Food,30.2536681,256.184099,35.53867949,1199.160938,680.145174,,772.2567422,75.43754283,3503.806392,,2,56.09,1,658
188,Electronics,24.27617853,267.3359924,41.03927896,1207.787448,847.1447139,,131.2116649,68.44697425,1254.669201,,3,49.88,0,34
189,Electronics,148.3558637,110.0659876,27.77508549,4104.79603,573.1274363,,200.1433669,68.97741558,2305.624145,,11,61.57,0,511
190,Automotive,104.1433501,86.27068119,48.38472849,4658.952259,195.4872751,,109.8101623,31.22457356,3953.608763,,14,42.49,1,120
191,Apparel,140.7964553,377.5726881,3.531767361,567.2685142,741.7106155,,496.8009033,40.0613528,3962.972087,,14,48.44,1,99
192,Food,92.61719433,273.4075186,25.73498432,2305.287333,620.2388396,,752.5868187,42.94941631,2375.656508,,13,47.82,0,985
193,Pharmaceutical,56.81638632,246.5828162,36.20424342,1753.525967,744.6880599,,566.1630163,21.01601083,4002.511704,,8,25.68,1,673
194,Apparel,165.6294404,378.2787029,43.26938309,4366.373432,781.2592917,,675.8602279,12.17476912,4225.384622,,12,16.89,0,426
195,Pharmaceutical,161.889017,394.4808045,9.783524983,509.2720819,976.6398493,,109.2968424,76.28320296,3342.923606,,9,58.24,0,776
196,Automotive,141.9923295,121.5086755,40.20017061,1134.517119,594.885116,,479.4107089,26.849881,1296.444091,,6,36.91,0,570
197,Automotive,61.70757607,324.6013173,28.08264671,3787.094854,374.5590571,,421.6940843,26.79642326,1515.256546,,10,47.9,1,334
198,Electronics,122.1438267,110.909337,20.43113042,351.33986,666.0413291,,449.277561,15.83653376,1711.237546,,2,36.34,1,961
199,Food,78.58504042,388.1187887,7.4540364,2513.423366,115.0186738,,150.5492297,74.99554264,760.6597171,,2,89.54,1,524
200,Pharmaceutical,27.40059393,345.6298203,43.39949219,2266.32447,902.5274524,,579.1047527,50.58159805,1511.166178,,7,37.83,1,227
201,Apparel,184.2895793,480.4765795,8.706387201,1738.565777,163.4119608,,452.2542904,56.69258,1205.692277,,8,77.55,1,841
202,Automotive,35.99553987,81.03110736,16.1796051,2033.404345,361.450696,,635.6041949,73.81038211,2385.577999,,8,74.82,1,561
203,Electronics,190.5450972,75.67462452,15.21223107,2696.708876,824.9581116,,439.7034438,34.19341182,4560.50023,,14,37.14,1,542
