company_id,company_name,industry,employees,annual_revenue,energy_consumption,water_consumption,waste_generated,recycling_rate,renewable_energy,transport_emissions,carbon_emissions,sustainability_score
39,Company_0039,Manufacturing,160,5880891.59,355312.76,29209.25,656.43,49.52,44.22,217.63,308.41,41.61
40,Company_0040,Logistics,342,1878951.63,422052.57,31830.57,338.51,79.57,75.11,674.43,556.45,39.85
41,Company_0041,Manufacturing,28,5047882.37,390606.35,42562.02,77.46,45.23,62.98,198.46,214.42,52.16
42,Company_0042,Agriculture,80,13189948.62,24324.96,37672.74,771.2,19.06,42.51,180.01,210.61,33.28
43,Company_0043,Manufacturing,290,5134125.94,681702.35,23094.86,802.41,66.74,98.79,597.48,630.27,38.81
44,Company_0044,Hospitality,430,18155723.66,367812.62,8378.32,862.19,48.26,75.18,840.66,720.13,23.09
45,Company_0045,Construction,325,4937068.1,363100.62,35820.47,238.32,38.55,89.3,85.17,174.61,54.62
46,Company_0046,Logistics,366,4436266.97,343596.96,16878.63,468.59,15.29,83.29,392.53,376.31,40.27
47,Company_0047,Manufacturing,443,17637002.12,469038.47,24110.5,943.03,35.38,39,892.18,777.31,6.37
48,Company_0048,Agriculture,254,4544548.37,359952.06,1936.73,339.45,67.73,40.43,169.22,233.09,45.4
49,Company_0049,Manufacturing,469,8001601.08,460225.75,1841.55,644.54,21.53,46.17,55.03,237.17,31.82
50,Company_0050,Technology,177,15272348.22,315718.45,37724.49,832.76,31.44,8.19,24.29,207.63,33.71
51,Company_0051,Technology,119,13072853.05,629361.78,32761.86,755.46,90.72,19.94,25.28,282.78,39.35
52,Company_0052,Retail,293,18965589.04,382726.51,13184.06,372.05,61.5,96.37,719.77,567.8,38.25
53,Company_0053,Healthcare,60,11657957.7,744531.99,29001.94,908.49,41.9,94.15,202.34,431.97,39.66
54,Company_0054,Agriculture,57,14004421.45,255234.49,34370.82,806.5,77.68,56.59,45.86,201.64,52.19
55,Company_0055,Retail,264,13021356.43,29868.68,21292.91,492.75,46.85,36.22,892.12,607.46,18.95
56,Company_0056,Logistics,380,10530585.59,527356.78,30987.66,920.02,75.84,46.49,826.61,753.96,17.28
57,Company_0057,Agriculture,430,18705513.2,237564.03,22814.7,751.72,58.44,66.82,339.71,366.09,38.52
58,Company_0058,Construction,113,7225534.33,221514.88,14343.1,598.17,84.81,55.58,519.04,452.71,39.62
59,Company_0059,Hospitality,255,11192488.99,207452.67,24066.61,713.28,48.09,1.72,297.76,329.42,24.41
60,Company_0060,Technology,247,11158764.51,288130.77,49833.26,552.64,39.9,45.37,310.09,336.37,37.54
61,Company_0061,Technology,66,14909045.06,761684.5,34663.1,195.58,72.78,27.65,591.64,559.54,34.27
62,Company_0062,Retail,431,4043528.05,197436.87,9382.36,19.08,55.4,27.43,974.42,625.81,29.78
63,Company_0063,Logistics,331,17395531.71,402885.38,43699.63,576.19,49.9,44.05,188.44,299.19,43.53
64,Company_0064,Construction,63,16477889.78,332551.8,4167.07,631.3,14.56,14.92,565.03,510.77,18.13
65,Company_0065,Retail,290,15335980.22,492927.77,39641.67,229.56,54.42,45.05,445.51,407.77,44.26
66,Company_0066,Healthcare,296,12496340.96,495512.11,37134.42,947.85,27.66,21.1,662.13,660.19,3.02
67,Company_0067,Retail,85,252979.31,371392.89,29893.65,294.8,29.68,70.7,704.47,550.67,32.22
68,Company_0068,Healthcare,408,15866705.35,480035.88,40293.33,201.83,19.76,22.48,153.24,236.91,31.49
69,Company_0069,Manufacturing,89,15894045.61,484134.35,41299.89,921.59,47.33,46.87,307.57,435.76,25.62
70,Company_0070,Construction,229,1792748.67,51091.41,21885.42,325.71,31.28,9.13,962.1,622.17,15.22
71,Company_0071,Manufacturing,396,13511175.37,230218.6,2491.47,757.49,49.99,65.15,916.49,717.44,21.04
72,Company_0072,Construction,51,9506205.82,338511.51,16392.38,109.08,23.67,41.16,497.99,386.53,32.46
73,Company_0073,Manufacturing,237,1943583.9,216871.1,6238.12,773.69,83.52,82.49,6.15,156.57,59.5
74,Company_0074,Manufacturing,101,10465099.97,505654.42,25175.41,444.83,14.39,26.71,135.36,268.59,33.76
75,Company_0075,Construction,67,771614.96,511417.38,40066.03,711.23,36.41,1.37,410.95,476.61,20.07
76,Company_0076,Retail,241,18951802.7,525213.56,8121.57,932.99,34.81,70.54,418.41,512.65,25.24
77,Company_0077,Construction,287,3063910.98,168676.09,30169.19,747.56,21.6,6.98,773.81,601.5,5.78
78,Company_0078,Healthcare,425,250792.14,586319.77,41955.06,582.02,66.09,86.53,449.31,493.78,40.19
79,Company_0079,Hospitality,238,18670474.66,698289.31,49048.34,242.61,42.55,85.6,413.72,452.83,41.81
80,Company_0080,Hospitality,202,19770597.24,638067.06,32774.94,156.34,92.01,12.62,965.53,755.65,21.79
81,Company_0081,Construction,56,10613831.52,376403.9,36260.97,412.93,65.66,15.44,472.14,419.94,31.73
82,Company_0082,Hospitality,337,1790243.35,276281.16,33880.7,535.95,91.1,62.68,888,672.5,35.4
83,Company_0083,Retail,125,12696988.13,738324.7,49872.58,748.03,46.89,9.84,635.58,660.68,10.74
84,Company_0084,Healthcare,467,773155.54,273012.24,3277.9,361.67,46.61,24.42,414.99,357.86,30.92
85,Company_0085,Logistics,45,12267937.38,318384.55,34315.16,500.18,59.57,23.22,639.72,529.26,28.49
86,Company_0086,Construction,466,5895106.98,446346.55,4156.16,945.51,93.95,29.92,962.22,816.94,16.37
87,Company_0087,Healthcare,106,19987596.6,685601.66,5779.34,384.46,40.51,29.59,700.78,649.1,22.09
88,Company_0088,Hospitality,145,360339.72,694752.57,39026.42,973.73,87.4,74.52,833.67,801.89,27.25
89,Company_0089,Agriculture,315,16078252.76,190823.54,9911.53,254.37,74.22,76.75,682.45,492.6,42.07
90,Company_0090,Manufacturing,163,15814487.58,46024.33,18560.63,135.75,87.32,32.67,418.43,278.91,55.59
91,Company_0091,Technology,276,10135536.29,232571.33,8644.95,914.48,90.26,96.74,298.67,357.11,55.67
92,Company_0092,Construction,498,1690927.35,608238.16,11667.93,677.94,67.32,39.74,846.52,750.52,14.68
93,Company_0093,Hospitality,12,5436279.85,116399.21,18744.99,750.27,32.28,38.1,640.36,518.43,22.14
94,Company_0094,Construction,17,12467027.97,755671.93,16736.31,612.03,65.05,63.54,466.95,546.87,35.47
95,Company_0095,Retail,76,1097866.86,49025.46,49798.41,120.54,29.96,53.75,391.7,257.94,48.33
96,Company_0096,Hospitality,305,14896926.49,140527.86,21036.78,103.53,51.59,40.81,951.76,621.06,27.42
97,Company_0097,Construction,232,19020992.36,687251.15,5418.05,687.25,56.28,97.78,361.88,484.07,37.73
98,Company_0098,Retail,490,16991057.13,374679.55,33307.05,643.5,60.76,2.14,787.86,658.04,10.93
99,Company_0099,Agriculture,40,16630393.18,452282.07,29525.96,813.99,29.8,77.44,789.7,697.07,15.68
100,Company_0100,Logistics,71,10896266.05,642840.78,5941.35,867.12,21.2,35.82,789.49,752.7,0
101,Company_0101,Healthcare,31,2709819.17,348349.23,6125.64,68.24,48.1,36.2,595.7,445.7,33.34
102,Company_0102,Manufacturing,377,15707894.52,696245.11,26311.84,460.75,91.94,6.08,481.59,524.1,34.1
103,Company_0103,Construction,369,18212076.42,77322.76,4499.13,610.26,15.58,27.5,634.91,480.85,15.98
104,Company_0104,Healthcare,237,10209911.27,355555.47,39758.26,118.84,65.65,87.77,553.58,421.55,50.7
105,Company_0105,Agriculture,216,6910846.05,373729.14,21091.49,99.61,46.27,66.51,377.43,331.78,51.27
106,Company_0106,Retail,51,16669083.39,92719.48,5279.94,740.1,79,55.64,588.53,476.08,36.12
107,Company_0107,Retail,215,7201241.98,538965.61,37639.07,868.75,71.29,96.84,602.41,619.47,36.14
108,Company_0108,Agriculture,84,13203378.8,194911,5856.81,846.15,41.24,76.26,576.23,505.24,33.17
109,Company_0109,Manufacturing,316,18595868.96,666979.42,13738.66,184.51,69.73,30.9,343.13,400.18,45
110,Company_0110,Hospitality,40,3009118.15,513874.17,2017.53,747.38,28.29,41.98,344.19,439.69,26.36
111,Company_0111,Retail,457,1241654.76,142779.72,31082.99,675.6,33.13,66.19,488.23,421.13,29.75
112,Company_0112,Retail,181,8712289.94,240932.25,34085.07,489.2,66.71,4.54,398.29,360.6,28.52
113,Company_0113,Healthcare,489,4382432.79,127043.15,13148.22,331.48,10.66,74.7,179.82,181.77,46.41
114,Company_0114,Technology,41,8062009.25,598792.24,22092.87,462.46,16.62,31.31,432.14,470.26,22.52
115,Company_0115,Healthcare,63,8219639.68,773635.76,9007.72,947.88,49.11,68.96,365.04,545.88,22.99
116,Company_0116,Hospitality,306,8128906.36,81344.73,43590.96,747.08,28.83,77.91,81,168.33,45.34
117,Company_0117,Agriculture,468,15569318.94,293857.79,47932.06,647.22,22.55,10.28,259.69,322.89,19.99
118,Company_0118,Retail,95,19035584.38,509800.04,23465.68,565.92,59.25,68.11,882.64,729.06,29.77
119,Company_0119,Technology,447,19425266.67,266588.34,22268.26,471.58,63.67,79.63,593.46,486.42,37.37
120,Company_0120,Construction,236,944623.46,307615.33,14710.31,646.44,93.08,9.03,596.11,523.85,31.61
121,Company_0121,Manufacturing,235,18199189.14,465892.22,9817.85,606.98,52.62,95.77,453.27,463.26,44.93
122,Company_0122,Retail,263,12993316.4,50530.86,35527.27,991.03,54.55,60.98,367.08,363.18,34.16
123,Company_0123,Technology,352,12038140.08,635597.01,32541.62,70.58,18.03,67.84,287.73,327.65,42.38
124,Company_0124,Logistics,175,1813739.35,537617.44,45878.95,313.68,65.76,66.21,133.31,247.27,49.24
125,Company_0125,Hospitality,334,15874906.77,654284.13,33670.76,829.81,72.8,68.54,528.76,592.38,31.15
126,Company_0126,Technology,14,7379433.85,160605.08,11102.54,947.93,51.33,22.65,141.88,265.93,35.66
127,Company_0127,Retail,264,15463319.46,671393.46,44242.27,42.56,38.62,76.63,135.39,247.93,48.67
128,Company_0128,Logistics,374,8865933.42,340469.72,33979.96,241.34,47.76,28.49,749.79,562.21,26.85
129,Company_0129,Healthcare,499,16210752.65,385832.17,41838.11,371,90.51,98.44,464.37,425.09,55.24
130,Company_0130,Hospitality,499,3408751.83,175764.23,30430.84,873.64,14.44,48.06,374.36,380.92,25.37
131,Company_0131,Retail,150,1860727.48,145043.62,22741.3,515.79,80.64,9.17,910.95,643.87,27.2
132,Company_0132,Manufacturing,217,1254486.37,411565.55,12171.01,994.55,41.87,2.82,931.17,793.99,0.4
133,Company_0133,Logistics,75,958403.18,735569.01,23886.52,831.95,74.5,46.91,617.27,660.93,19.75
134,Company_0134,Agriculture,432,3160488.46,753376.24,30639.56,426.14,75.97,23.76,126.24,323.24,43.65
135,Company_0135,Construction,37,2394986.33,726014.57,30038.58,21.35,53.81,24.19,147.86,264.84,45.93
136,Company_0136,Agriculture,297,8448038.39,538209.62,4737.89,974.78,15.75,52.61,509.79,566.88,14.47
137,Company_0137,Hospitality,452,9508674.55,515823.22,49061.45,257.38,11.38,78.85,348.08,361.75,38.59
138,Company_0138,Technology,73,1077846.63,445890.72,40768.69,179.21,76.23,46.46,696.91,543.87,42.03
139,Company_0139,Retail,371,15568569.91,376990.07,15025.41,48.59,26.95,4.19,933.7,651.45,19.29
140,Company_0140,Construction,134,925091.28,524582.39,14662.49,862.83,14.06,65.57,276.85,410.69,24.68
141,Company_0141,Hospitality,385,8906785.35,766053.4,17282.31,190.88,68.83,36.73,798.3,693.79,23.3
142,Company_0142,Hospitality,45,8726021.61,796176.57,9432.6,297.3,18.72,32.79,299.16,414.22,28.99
143,Company_0143,Logistics,358,8989385.95,368761.13,36477.31,912.05,62.26,43.49,641.27,597.93,18.54
144,Company_0144,Hospitality,191,10359103.19,604920.43,8419.34,35.98,82.14,67.81,440.98,418.69,50.07
145,Company_0145,Technology,190,7780517.15,462450.82,30452.19,680.67,90.65,37.2,764.27,664.8,28.65
146,Company_0146,Hospitality,165,13061302.59,214697.09,6115.71,737,52.42,38.7,563.86,497.3,24.37
147,Company_0147,Construction,114,19928029.22,242749.96,45865.71,493.74,20.42,85.28,454.78,389.64,35.96
148,Company_0148,Retail,419,13702199.35,679506.55,16319.59,350.69,15.52,54.22,891.88,740.58,15.43
149,Company_0149,Logistics,411,7357545.23,194908.46,49264.06,793.11,30.12,49.4,364.09,374.7,28.44
150,Company_0150,Logistics,318,17708079.65,71283.52,20208.92,718.35,50.69,41.08,412.39,361.51,30.09
151,Company_0151,Technology,333,1668467.39,383349.9,26109.32,132.69,80.47,55.13,589.85,454.3,43.06
152,Company_0152,Manufacturing,430,2658390.19,139352.06,8650.53,326.05,70.29,34.6,941.2,630.57,32.35
153,Company_0153,Healthcare,105,12774130.41,449656.3,6695.93,306.31,55.35,50.26,172.79,243.2,44.44
154,Company_0154,Technology,436,18493808.56,52131.56,43257.17,85.82,90.63,77.1,268.33,182.69,68.59
155,Company_0155,Manufacturing,259,17802138.25,445550.44,32274.41,305.58,30.81,80.73,409.06,393.59,42.24
156,Company_0156,Logistics,230,8429310.58,382264.88,17339.53,147.95,83.23,31.93,988.08,703.7,29.15
157,Company_0157,Technology,268,11320694.07,268910.39,23590.39,271.13,31.07,9.68,293.76,276.47,33.64
158,Company_0158,Agriculture,497,17333088.53,144565.74,16708.07,579.8,36.58,76.31,500.77,413.28,36.48
159,Company_0159,Healthcare,259,658890.7,757281.59,25519.5,966.85,28.29,35.29,55.29,357.62,27.99
160,Company_0160,Construction,151,10826476.84,680794.45,21830.92,883.04,71.84,76.39,369.11,516.11,37.1
161,Company_0161,Agriculture,190,11153813.95,77354.76,25460.65,765.58,33.78,98.91,682,541,36.36
162,Company_0162,Hospitality,196,15938965.12,284486.53,46977.95,756.19,26.92,50.91,502.58,485.19,19.57
163,Company_0163,Technology,416,9580134.18,376451.08,30509.9,517.93,37.88,61.31,166.69,252,45.05
164,Company_0164,Healthcare,308,6860194.35,666065.72,26850.82,710.2,35.48,81.57,371.52,482.48,36.98
165,Company_0165,Healthcare,412,17995588.66,700237.31,31648.39,598.93,32.57,65.56,972.2,836.65,9.21
166,Company_0166,Manufacturing,303,9712885.92,428901.22,36198.55,775.73,42.32,82.17,245.99,359.73,41.34
167,Company_0167,Agriculture,14,8932563.61,346648.63,20941.53,207.87,52.65,61.15,474.25,385.43,45.8
168,Company_0168,Logistics,270,4305365.76,273538.64,33280.23,527.85,36.67,17.32,912.56,688.25,10.16
169,Company_0169,Healthcare,317,9786766.01,766723.17,14310.82,302.01,90.03,98.23,772.32,686.28,45.97
170,Company_0170,Construction,167,9700107.78,457180.32,46757.03,723.06,34.46,57.35,545.47,532.12,23.39
171,Company_0171,Technology,493,15506673.71,134251.38,2582.29,955.54,16.72,92.4,657.69,556.56,20.03
172,Company_0172,Healthcare,482,11327956.79,231864.74,5906.72,742.19,30.34,5.08,905.66,708.18,1.24
173,Company_0173,Retail,216,6739813.75,388475.05,34219,141.78,91.98,97.79,162.15,202.62,74.46
174,Company_0174,Construction,249,13080666.1,609610.63,14718.63,288.99,15.03,76.87,654.04,583.53,28.73
175,Company_0175,Manufacturing,472,18445123.46,345950.29,41961.44,934.25,13.09,83.62,789.02,696.31,15.99
176,Company_0176,Healthcare,453,941830.28,252745.92,30337.76,928.81,38.48,45.43,643.11,577.89,22.09
177,Company_0177,Logistics,440,10183410.94,232812.92,40536.29,334.03,72.15,64.83,720.01,540.03,38.2
178,Company_0178,Healthcare,295,13553142.57,170665.8,30742.25,640.53,44.47,42.77,331.29,329.5,31.14
179,Company_0179,Logistics,249,6607313.07,213476.73,13408.87,239.34,74.07,95.4,305.44,258.08,56.82
180,Company_0180,Technology,359,4878791.03,540873.17,23537.05,163.92,68.32,92.31,888.36,677.43,41.52
181,Company_0181,Healthcare,193,12369583.87,190920.31,7111.65,157.42,73.56,60.57,418.77,311.62,52.66
182,Company_0182,Agriculture,395,5099815.5,608696.85,43720.19,86.46,47.97,70.38,82.71,203.49,50.43
183,Company_0183,Agriculture,298,10825871.13,148338.98,42797.06,444.63,67.83,71.69,491.38,380.63,46.16
184,Company_0184,Manufacturing,237,2812497.93,344031.17,28413.6,561,67.19,30.82,26.66,181.06,41.93
185,Company_0185,Agriculture,301,1645984.61,350483.96,35169.05,543.46,15.12,89.42,986.21,751.42,15.17
186,Company_0186,Logistics,398,2881491.56,520389.5,36599.83,963.96,41.83,89.13,451.29,527.12,28.65
187,Company_0187,Retail,354,19290058.65,702151.9,7083,860.99,20.08,99.28,396.09,539.79,31.91
188,Company_0188,Manufacturing,392,650159.48,252723.13,33838.24,546.72,55.21,82.34,251.27,289.03,46.74
189,Company_0189,Retail,21,16227668.03,347007.67,38419.65,884.34,11.33,20.61,105.39,281.97,22.78
190,Company_0190,Manufacturing,130,14862713.35,333766.97,12099.79,221.18,83.42,5.64,506.38,414.66,41.64
191,Company_0191,Technology,300,12038769.95,544574.88,16372.92,305.26,22.18,66.02,224.94,310.89,35
192,Company_0192,Logistics,325,13639252.44,453563.52,2820.76,347.69,64.68,38.12,526.84,467.72,35.14
193,Company_0193,Healthcare,197,3840803.78,439584.05,12427.93,229.22,82.89,14.44,465.71,422.55,38.74
194,Company_0194,Hospitality,290,10693837.92,322966.86,13122.28,333.61,16.72,44.98,374.22,344.6,35.07
195,Company_0195,Manufacturing,142,7667925.9,491876.17,2457.6,77.42,78.4,58.76,673.09,534.1,40.77
196,Company_0196,Technology,160,19148991.26,31960.29,46889.41,962.27,19.97,99.96,481.53,436.4,32.18
197,Company_0197,Agriculture,208,18319503.9,450621.85,38887.94,383.76,55.36,35.93,265.25,319.11,40.25
198,Company_0198,Retail,416,19630105.45,386202.53,42066.69,914.76,41.51,41.39,564.71,568.17,15.27
199,Company_0199,Healthcare,288,18708213.36,471731.48,21170.11,156.65,38.04,37.98,834.2,631.96,25.1
200,Company_0200,Technology,136,15314540.39,401124.46,36316.12,740.9,49.17,73.28,355.42,421.87,37.06
201,Company_0201,Logistics,474,17809417.69,792452.36,47883.23,526.32,81.32,7.43,818.91,767.44,11.93
202,Company_0202,Logistics,436,12687892.63,73014.99,7975.97,222.63,48.76,6.05,639.54,416.69,33.91
203,Company_0203,Construction,13,330924.67,450281.98,1086.62,531.77,33.35,97.75,22.06,189.31,53.52
204,Company_0204,Logistics,59,18377367.12,429020.61,12427.96,621.68,31.46,35.44,795.96,676.5,17.95
205,Company_0205,Construction,294,5015516.31,563844.33,15348.74,828.92,16.85,99.17,651.64,655.65,19.96
206,Company_0206,Hospitality,287,9624900.98,516663.5,35290.83,87.27,81.85,64.49,334.61,323.48,60.83
207,Company_0207,Manufacturing,122,4386057.71,697131.17,44433.94,478.12,13.96,7.43,925.96,783.59,0.46
208,Company_0208,Manufacturing,96,18589573.95,265298.06,48092.72,589.1,73.94,71.27,401.3,393.93,42.3
209,Company_0209,Agriculture,295,16726081.09,323542.15,44878.03,335.07,74.23,14,988.54,709.79,21.69
210,Company_0210,Technology,32,2134178.59,201072.32,4262.9,607.14,62.18,59.56,969.08,716.26,25.4
211,Company_0211,Construction,256,4717140.12,451369.43,19083.64,189.81,59.8,38.01,773.31,599.39,27.67
212,Company_0212,Retail,47,5505846.21,316399.99,39302.57,158.51,43.12,36.07,96.06,141.65,48.38
213,Company_0213,Healthcare,57,2823638.69,166165.59,22717.76,556.97,44.68,2.63,357.14,337.51,28.84
214,Company_0214,Technology,447,7827710.76,247640.93,19696.08,89.28,86.6,90.52,978.28,650.83,42.79
215,Company_0215,Hospitality,91,2949033.17,254882.39,24909.64,67.95,46.95,42.11,486.81,364.46,38.6
216,Company_0216,Agriculture,374,12575667.02,483168.99,10179.64,111.44,35.9,94.88,335.56,326.44,53.28
217,Company_0217,Technology,230,6827777.23,656070.87,43045.67,974.35,21.57,32.07,947.54,874.68,0
218,Company_0218,Hospitality,500,6518925.76,593202.01,31828.67,967.92,76.47,32.59,283.9,448.11,29.78
219,Company_0219,Agriculture,308,19945845.53,160343.23,38497.09,31.78,71.81,94.3,213.6,157.06,71.88
220,Company_0220,Retail,424,16986201.01,640135.59,33812.39,143.48,35.74,25.27,158.37,268.12,37.56
221,Company_0221,Construction,311,9688847.06,332627.98,25577.33,920.79,68.8,54.36,791.77,689.15,26.06
222,Company_0222,Retail,60,15425290.15,532929.28,18072.94,648.76,13.77,98.36,679.08,630,26.03
223,Company_0223,Hospitality,59,408845.9,221815.93,25778.47,521.2,59.34,57.52,448.55,394.94,42.8
224,Company_0224,Logistics,181,19954513.96,396561.45,15123.89,920.94,17.3,83.13,731.5,669.21,14.41
225,Company_0225,Agriculture,271,9761934.78,391406.77,22189.21,698.28,37.11,30.03,811.14,686.98,15.7
226,Company_0226,Retail,351,16040992.49,745339.51,37154.23,518.41,56.91,33.1,429.24,512.4,31.72
227,Company_0227,Logistics,100,12881481.76,357064.87,1945.02,616.04,26.77,59.22,391.89,402.71,27.76
228,Company_0228,Retail,300,2214690.56,700143.88,9754.51,329.35,48.89,26.24,863.32,731.88,18.15
229,Company_0229,Hospitality,317,7972371.31,109101.02,17923.25,460.57,24.66,67.36,801.61,558.95,26.83
230,Company_0230,Logistics,165,2533660.72,258196.4,9560.7,694.97,53.42,41.82,142.18,246.43,37.57
231,Company_0231,Logistics,289,3503937.37,245291.12,9761.38,842.78,62.65,86.55,952.08,749.3,21.92
232,Company_0232,Hospitality,498,11319325.13,529394.41,20752.15,494.27,70.36,44.39,171.42,298.03,48.35
233,Company_0233,Agriculture,154,847362.72,195377.86,14789.18,781.84,58.08,77.25,497.84,454.61,38.19
234,Company_0234,Healthcare,401,10953502.41,792897.02,27331.15,758,74.6,44.14,222.45,436.89,38.52
235,Company_0235,Agriculture,157,17521234.96,45139.71,13509.35,862.89,17.39,86.53,121.8,197.56,38.09
236,Company_0236,Technology,445,14272928.4,513561.09,8716.09,143.54,27.56,20.69,64.06,181.34,37.98
237,Company_0237,Logistics,170,19584203.1,248255.06,28850.41,952.64,53.73,90.02,816.11,691.91,27.43
238,Company_0238,Hospitality,475,1373860.55,236312.36,32966.87,702.92,21.28,14.62,325.49,354.86,25.15
239,Company_0239,Hospitality,255,3014998.33,513273.55,31576.73,378.3,16.42,79.46,770.04,639.03,25.81
240,Company_0240,Technology,237,19015030.76,275285.64,622.42,775.26,72.28,73.09,461.16,448.52,39.15
241,Company_0241,Retail,412,10781604.39,189907.35,21767.33,215.79,32.83,82.83,341.07,272.93,49.09
242,Company_0242,Construction,408,7006044.49,552390.5,2896.26,104.08,76.63,45.96,128.62,213.73,55.77
243,Company_0243,Manufacturing,495,8670426.16,796641.37,45515.66,882.74,35.66,87.44,877.21,856.03,11.17
244,Company_0244,Retail,195,13357274.47,526150.74,3063.47,627.48,71.71,75.52,432.08,483.08,36.99
245,Company_0245,Agriculture,249,1743186.69,483070.01,26212.49,447.84,10.69,34.36,124.99,245.73,33.6
246,Company_0246,Construction,41,4733147.98,89678.24,40394.86,107.69,41.24,29.93,385.81,253.79,46.01
247,Company_0247,Logistics,40,10704063.88,26610.3,32676,442.9,71.41,62.81,155.62,158.23,58.83
248,Company_0248,Agriculture,49,17952540.32,129210.25,6596.28,731.36,39.88,42.94,792.12,612.32,20.25
249,Company_0249,Agriculture,288,12099781.42,582520.12,14603.58,941.57,12.28,84.71,876.45,808.63,8.88
250,Company_0250,Agriculture,387,7956670.11,524012.42,39298.18,794.81,30.34,38.59,244.88,384.39,21.86
251,Company_0251,Manufacturing,189,18691703.15,122946.65,43110.29,570.54,41.06,68.29,763.91,555.57,31.72
252,Company_0252,Manufacturing,305,1537144.87,224504.52,2471.43,65.17,77.09,50.66,630.43,434.14,46.04
